13:22:33: 19.2°C
18:35:47: 22.2°C
18:35:54: 22.2°C
18:36:00: 22.2°C
18:36:06: 22.2°C
18:36:12: 22.2°C
18:36:19: 22.2°C
18:36:25: 22.2°C
18:36:31: 22.2°C
18:36:37: 22.2°C
18:36:44: 22.2°C
18:36:50: 22.2°C
18:36:56: 22.2°C
18:37:03: 22.2°C
18:37:09: 22.2°C
18:37:15: 22.2°C
18:37:21: 22.2°C
18:37:28: 22.2°C
18:37:34: 22.2°C
18:37:40: 22.2°C
18:37:46: 22.2°C
18:37:53: 22.2°C
18:37:59: 22.2°C
18:38:05: 22.2°C
18:38:11: 22.2°C
18:38:18: 22.2°C
18:38:24: 22.2°C
18:38:30: 22.2°C
18:38:37: 22.2°C
18:38:43: 22.2°C
18:38:49: 22.2°C
18:38:55: 22.2°C
18:39:02: 22.2°C
18:39:08: 22.2°C
18:39:14: 22.2°C
18:39:20: 22.2°C
18:39:27: 22.2°C
18:39:33: 22.2°C
18:39:39: 22.2°C
18:39:45: 22.2°C
18:39:52: 22.2°C
18:39:58: 22.2°C
18:40:04: 22.2°C
18:40:10: 22.2°C
18:40:17: 22.2°C
18:40:23: 22.2°C
18:40:29: 22.2°C
18:40:35: 22.2°C
18:40:42: 22.2°C
18:40:48: 22.2°C
18:40:54: 22.2°C
18:41:01: 22.2°C
18:41:07: 22.2°C
18:41:13: 22.2°C
18:41:19: 22.2°C
18:41:26: 22.2°C
18:41:32: 22.2°C
18:41:38: 22.2°C
18:41:44: 22.2°C
18:41:51: 22.2°C
18:41:57: 22.2°C
18:42:03: 22.2°C
18:42:10: 22.2°C
18:42:16: 22.2°C
18:42:22: 22.2°C
18:42:28: 22.2°C
18:42:35: 22.2°C
18:42:41: 22.2°C
18:42:47: 22.2°C
18:42:53: 22.2°C
18:43:00: 22.2°C
18:43:06: 22.2°C
18:43:12: 22.2°C
18:43:18: 22.2°C
18:43:25: 22.2°C
18:43:31: 22.2°C
18:43:37: 22.2°C
18:43:43: 22.2°C
18:43:50: 22.2°C
18:43:56: 22.2°C
18:44:02: 22.2°C
18:44:09: 22.2°C
18:44:15: 22.2°C
18:44:21: 22.2°C
18:44:27: 22.2°C
18:44:34: 22.2°C
18:44:40: 22.2°C
18:44:46: 22.2°C
18:44:52: 22.2°C
18:44:59: 22.2°C
18:45:05: 22.2°C
18:45:11: 22.2°C
18:45:18: 22.2°C
18:45:24: 22.2°C
18:45:30: 22.2°C
18:45:36: 22.2°C
18:45:43: 22.2°C
18:45:49: 22.2°C
18:45:55: 22.2°C
18:46:01: 22.2°C
18:46:08: 22.2°C
18:46:14: 22.2°C
18:46:20: 22.2°C
18:46:26: 22.2°C
18:46:33: 22.2°C
18:46:39: 22.2°C
18:46:45: 22.2°C
18:46:52: 22.2°C
18:46:58: 22.2°C
18:47:04: 22.2°C
18:47:10: 22.2°C
18:47:17: 22.2°C
18:47:23: 22.2°C
18:47:29: 22.2°C
18:47:35: 22.2°C
18:47:42: 22.2°C
18:47:48: 22.2°C
18:47:54: 22.2°C
18:48:00: 22.2°C
18:48:07: 22.2°C
18:48:13: 22.2°C
18:48:19: 22.2°C
18:48:25: 22.2°C
18:48:32: 22.2°C
18:48:38: 22.2°C
18:48:44: 22.2°C
18:48:50: 22.2°C
18:48:57: 22.2°C
18:49:03: 22.2°C
18:49:09: 22.2°C
18:49:16: 22.2°C
18:49:22: 22.2°C
18:49:28: 22.2°C
18:49:34: 22.2°C
18:49:41: 22.2°C
18:49:47: 22.2°C
18:49:53: 22.2°C
18:49:59: 22.2°C
18:50:06: 22.2°C
18:50:12: 22.2°C
18:50:18: 22.2°C
18:50:25: 22.2°C
18:50:31: 22.2°C
18:50:37: 22.2°C
18:50:43: 22.2°C
18:50:50: 22.2°C
18:50:56: 22.2°C
18:51:02: 22.2°C
18:51:08: 22.2°C
18:51:15: 22.2°C
18:51:21: 22.2°C
18:51:27: 22.2°C
18:51:33: 22.2°C
18:51:40: 22.2°C
18:51:46: 22.2°C
18:51:52: 22.2°C
18:51:59: 22.2°C
18:52:05: 22.2°C
18:52:11: 22.2°C
18:52:17: 22.2°C
18:52:24: 22.2°C
18:52:30: 22.2°C
18:52:36: 22.2°C
18:52:42: 22.1°C
18:52:49: 22.2°C
18:52:55: 22.2°C
18:53:01: 22.2°C
18:53:07: 22.2°C
18:53:14: 22.2°C
18:53:20: 22.1°C
18:53:26: 22.2°C
18:53:33: 22.2°C
18:53:39: 22.2°C
18:53:45: 22.2°C
18:53:51: 22.2°C
18:53:58: 22.2°C
18:54:04: 22.2°C
18:54:10: 22.2°C
18:54:16: 22.2°C
18:54:23: 22.2°C
18:54:29: 22.2°C
18:54:35: 22.1°C
18:54:41: 22.2°C
18:54:48: 22.2°C
18:54:54: 22.2°C
18:55:00: 22.2°C
18:55:06: 22.1°C
18:55:13: 22.1°C
18:55:19: 22.1°C
18:55:25: 22.2°C
18:55:32: 22.2°C
18:55:38: 22.1°C
18:55:44: 22.1°C
18:55:50: 22.2°C
18:55:57: 22.2°C
18:56:03: 22.1°C
18:56:09: 22.1°C
18:56:15: 22.1°C
18:56:22: 22.2°C
18:56:28: 22.1°C
18:56:34: 22.1°C
18:56:40: 22.1°C
18:56:47: 22.1°C
18:56:53: 22.1°C
18:56:59: 22.1°C
18:57:06: 22.1°C
18:57:12: 22.1°C
18:57:18: 22.1°C
18:57:24: 22.1°C
18:57:31: 22.2°C
18:57:37: 22.1°C
18:57:43: 22.1°C
18:57:49: 22.1°C
18:57:56: 22.1°C
18:58:02: 22.1°C
18:58:08: 22.1°C
18:58:14: 22.1°C
18:58:21: 22.1°C
18:58:27: 22.1°C
18:58:33: 22.1°C
18:58:39: 22.1°C
18:58:46: 22.1°C
18:58:52: 22.1°C
18:58:58: 22.1°C
18:59:05: 22.1°C
18:59:11: 22.1°C
18:59:17: 22.1°C
18:59:23: 22.1°C
18:59:30: 22.1°C
18:59:36: 22.1°C
18:59:42: 22.1°C
18:59:48: 22.1°C
18:59:55: 22.1°C
19:00:01: 22.1°C
19:00:07: 22.1°C
19:00:13: 22.1°C
19:00:20: 22.1°C
19:00:26: 22.1°C
19:00:32: 22.1°C
19:00:38: 22.1°C
19:00:45: 22.1°C
19:00:51: 22.1°C
19:00:57: 22.1°C
19:01:04: 22.1°C
19:01:10: 22.1°C
19:01:16: 22.1°C
19:01:22: 22.1°C
19:01:29: 22.1°C
19:01:35: 22.1°C
19:01:41: 22.1°C
19:01:47: 22.1°C
19:01:54: 22.1°C
19:02:00: 22.1°C
19:02:06: 22.1°C
19:02:12: 22.1°C
19:02:19: 22.1°C
19:02:25: 22.1°C
19:02:31: 22.1°C
19:02:37: 22.1°C
19:02:44: 22.1°C
19:02:50: 22.1°C
19:02:56: 22.1°C
19:03:03: 22.1°C
19:03:09: 22.1°C
19:03:15: 22.1°C
19:03:21: 22.1°C
19:03:28: 22.1°C
19:03:34: 22.1°C
19:03:40: 22.1°C
19:03:46: 22.1°C
19:03:53: 22.1°C
19:03:59: 22.1°C
19:04:05: 22.1°C
19:04:11: 22.1°C
19:04:18: 22.1°C
19:04:24: 22.1°C
19:04:30: 22.1°C
19:04:37: 22.1°C
19:04:43: 22.1°C
19:04:49: 22.1°C
19:04:55: 22.1°C
19:05:02: 22.1°C
19:05:08: 22.1°C
19:05:14: 22.1°C
19:05:20: 22.1°C
19:05:27: 22.1°C
19:05:33: 22.1°C
19:05:39: 22.1°C
19:05:46: 22.0°C
19:05:52: 22.1°C
19:05:58: 22.1°C
19:06:04: 22.1°C
19:06:11: 22.1°C
19:06:17: 22.1°C
19:06:23: 22.1°C
19:06:29: 22.1°C
19:06:36: 22.1°C
19:06:42: 22.1°C
19:06:48: 22.1°C
19:06:54: 22.1°C
19:07:01: 22.1°C
19:07:07: 22.1°C
19:07:13: 22.1°C
19:07:19: 22.1°C
19:07:26: 22.1°C
19:07:32: 22.1°C
19:07:38: 22.0°C
19:07:45: 22.1°C
19:07:51: 22.0°C
19:07:57: 22.0°C
19:08:03: 22.1°C
19:08:10: 22.0°C
19:08:16: 22.0°C
19:08:22: 22.0°C
19:08:28: 22.0°C
19:08:35: 22.0°C
19:08:41: 22.0°C
19:08:47: 22.0°C
19:08:53: 22.0°C
19:09:00: 22.0°C
19:09:06: 22.0°C
19:09:12: 22.0°C
19:09:19: 22.0°C
19:09:25: 22.0°C
19:09:31: 22.0°C
19:09:37: 22.0°C
19:09:44: 22.0°C
19:09:50: 22.0°C
19:09:56: 22.0°C
19:10:02: 22.0°C
19:10:09: 22.0°C
19:10:15: 22.0°C
19:10:21: 22.0°C
19:10:28: 22.0°C
19:10:34: 22.0°C
19:10:40: 22.0°C
19:10:46: 22.0°C
19:10:53: 22.0°C
19:10:59: 22.0°C
19:11:05: 21.9°C
19:11:11: 22.0°C
19:11:18: 22.0°C
19:11:24: 22.0°C
19:11:30: 22.0°C
19:11:36: 22.0°C
19:11:43: 22.0°C
19:11:49: 21.9°C
19:11:55: 22.0°C
19:12:02: 21.9°C
19:12:08: 22.0°C
19:12:14: 21.9°C
19:12:20: 22.0°C
19:12:27: 22.0°C
19:12:33: 21.9°C
19:12:39: 22.0°C
19:12:45: 22.0°C
19:12:52: 22.0°C
19:12:58: 22.0°C
19:13:04: 21.9°C
19:13:11: 22.0°C
19:13:17: 22.0°C
19:13:23: 21.9°C
19:13:29: 22.0°C
19:13:36: 21.9°C
19:13:42: 22.0°C
19:13:48: 22.0°C
19:13:54: 21.9°C
19:14:01: 22.0°C
19:14:07: 22.0°C
19:14:13: 21.9°C
19:14:19: 21.9°C
19:14:26: 21.9°C
19:14:32: 21.9°C
19:14:38: 21.9°C
19:14:44: 21.9°C
19:14:51: 21.9°C
19:14:57: 21.9°C
19:15:03: 21.9°C
19:15:09: 21.9°C
19:15:16: 22.0°C
19:15:22: 21.9°C
19:15:28: 21.9°C
19:15:34: 21.9°C
19:15:41: 21.9°C
19:15:47: 21.9°C
19:15:53: 21.9°C
19:16:00: 21.9°C
19:16:06: 21.9°C
19:16:12: 21.9°C
19:16:18: 21.9°C
19:16:25: 21.9°C
19:16:31: 21.9°C
19:16:37: 21.9°C
19:16:43: 21.9°C
19:16:50: 21.9°C
19:16:56: 21.9°C
19:17:02: 21.9°C
19:17:09: 21.9°C
19:17:15: 21.9°C
19:17:21: 21.9°C
19:17:27: 21.9°C
19:17:34: 21.9°C
19:17:40: 21.9°C
19:17:46: 21.9°C
19:17:52: 21.9°C
19:17:59: 21.9°C
19:18:05: 21.9°C
19:18:11: 21.9°C
19:18:17: 21.9°C
19:18:24: 21.9°C
19:18:30: 21.9°C
19:18:36: 21.9°C
19:18:43: 21.9°C
19:18:49: 21.9°C
19:18:55: 21.9°C
19:19:01: 21.9°C
19:19:08: 21.9°C
19:19:14: 21.9°C
19:19:20: 21.9°C
19:19:26: 21.9°C
19:19:33: 21.9°C
19:19:39: 21.9°C
19:19:45: 21.9°C
19:19:51: 21.9°C
19:19:58: 21.9°C
19:20:04: 21.9°C
19:20:10: 21.9°C
19:20:17: 21.9°C
19:20:23: 21.9°C
19:20:29: 21.9°C
19:20:35: 21.9°C
19:20:42: 21.9°C
19:20:48: 21.9°C
19:20:54: 21.9°C
19:21:00: 21.9°C
19:21:07: 21.9°C
19:21:13: 21.9°C
19:21:19: 21.9°C
19:21:26: 21.9°C
19:21:32: 21.9°C
19:21:38: 21.9°C
19:21:44: 21.9°C
19:21:51: 21.9°C
19:21:57: 21.9°C
19:22:03: 21.9°C
19:22:09: 21.9°C
19:22:16: 21.9°C
19:22:22: 21.9°C
19:22:28: 21.9°C
19:22:35: 21.9°C
19:22:41: 21.9°C
19:22:47: 21.9°C
19:22:53: 21.9°C
19:23:00: 21.8°C
19:23:06: 21.8°C
19:23:12: 21.8°C
19:23:18: 21.8°C
19:23:25: 21.8°C
19:23:31: 21.8°C
19:23:37: 21.8°C
19:23:43: 21.8°C
19:23:50: 21.8°C
19:23:56: 21.9°C
19:24:02: 21.8°C
19:24:08: 21.8°C
19:24:15: 21.8°C
19:24:21: 21.8°C
19:24:27: 21.9°C
19:24:34: 21.8°C
19:24:40: 21.8°C
19:24:46: 21.9°C
19:24:52: 21.8°C
19:24:59: 21.8°C
19:25:05: 21.8°C
19:25:11: 21.8°C
19:25:17: 21.8°C
19:25:24: 21.8°C
19:25:30: 21.8°C
19:25:36: 21.8°C
19:25:42: 21.8°C
19:25:49: 21.8°C
19:25:55: 21.8°C
19:26:01: 21.8°C
19:26:08: 21.8°C
19:26:14: 21.8°C
19:26:20: 21.8°C
19:26:26: 21.8°C
19:26:33: 21.8°C
19:26:39: 21.8°C
19:26:45: 21.8°C
19:26:51: 21.8°C
19:26:58: 21.8°C
19:27:04: 21.8°C
19:27:10: 21.8°C
19:27:17: 21.8°C
19:27:23: 21.8°C
19:27:29: 21.8°C
19:27:35: 21.8°C
19:27:42: 21.8°C
19:27:48: 21.8°C
19:27:54: 21.8°C
19:28:00: 21.8°C
19:28:07: 21.8°C
19:28:13: 21.8°C
19:28:19: 21.8°C
19:28:26: 21.8°C
19:28:32: 21.8°C
19:28:38: 21.8°C
19:28:44: 21.8°C
19:28:51: 21.8°C
19:28:57: 21.8°C
19:29:03: 21.8°C
19:29:09: 21.8°C
19:29:16: 21.8°C
19:29:22: 21.8°C
19:29:28: 21.8°C
19:29:34: 21.8°C
19:29:41: 21.8°C
19:29:47: 21.8°C
19:29:53: 21.8°C
19:29:59: 21.8°C
19:30:06: 21.8°C
19:30:12: 21.8°C
19:30:18: 21.8°C
19:30:25: 21.8°C
19:30:31: 21.8°C
19:30:37: 21.8°C
19:30:43: 21.8°C
19:30:50: 21.8°C
19:30:56: 21.8°C
19:31:02: 21.8°C
19:31:08: 21.8°C
19:31:15: 21.8°C
19:31:21: 21.8°C
19:31:27: 21.8°C
19:31:34: 21.8°C
19:31:40: 21.8°C
19:31:46: 21.8°C
19:31:52: 21.8°C
19:31:59: 21.8°C
19:32:05: 21.8°C
19:32:11: 21.8°C
19:32:17: 21.8°C
19:32:24: 21.8°C
19:32:30: 21.8°C
19:32:36: 21.8°C
19:32:42: 21.8°C
19:32:49: 21.8°C
19:32:55: 21.8°C
19:33:01: 21.8°C
19:33:08: 21.8°C
19:33:14: 21.7°C
19:33:20: 21.8°C
19:33:26: 21.8°C
19:33:33: 21.8°C
19:33:39: 21.8°C
19:33:45: 21.7°C
19:33:51: 21.8°C
19:33:58: 21.8°C
19:34:04: 21.7°C
19:34:10: 21.7°C
19:34:16: 21.7°C
19:34:23: 21.7°C
19:34:29: 21.7°C
19:34:35: 21.7°C
19:34:42: 21.7°C
19:34:48: 21.7°C
19:34:54: 21.7°C
19:35:00: 21.6°C
19:35:07: 21.7°C
19:35:13: 21.7°C
19:35:19: 21.7°C
19:35:25: 21.7°C
19:35:32: 21.7°C
19:35:38: 21.7°C
19:35:44: 21.7°C
19:35:50: 21.7°C
19:35:57: 21.7°C
19:36:03: 21.7°C
19:36:09: 21.7°C
19:36:16: 21.7°C
19:36:22: 21.7°C
19:36:28: 21.7°C
19:36:34: 21.7°C
19:36:41: 21.7°C
19:36:47: 21.7°C
19:36:53: 21.7°C
19:36:59: 21.7°C
19:37:06: 21.7°C
19:37:12: 21.7°C
19:37:18: 21.7°C
19:37:24: 21.7°C
19:37:31: 21.7°C
19:37:37: 21.7°C
19:37:43: 21.7°C
19:37:49: 21.7°C
19:37:56: 21.7°C
19:38:02: 21.7°C
19:38:08: 21.7°C
19:38:15: 21.7°C
19:38:21: 21.6°C
19:38:27: 21.6°C
19:38:33: 21.6°C
19:38:40: 21.7°C
19:38:46: 21.7°C
19:38:52: 21.6°C
19:38:58: 21.6°C
19:39:05: 21.6°C
19:39:11: 21.6°C
19:39:17: 21.6°C
19:39:23: 21.6°C
19:39:30: 21.6°C
19:39:36: 21.6°C
19:39:42: 21.6°C
19:39:49: 21.6°C
19:39:55: 21.6°C
19:40:01: 21.6°C
19:40:07: 21.6°C
19:40:14: 21.6°C
19:40:20: 21.6°C
19:40:26: 21.6°C
19:40:32: 21.6°C
19:40:39: 21.6°C
19:40:45: 21.6°C
19:40:51: 21.6°C
19:40:57: 21.6°C
19:41:04: 21.6°C
19:41:10: 21.6°C
19:41:16: 21.6°C
19:41:22: 21.6°C
19:41:29: 21.6°C
19:41:35: 21.6°C
19:41:41: 21.6°C
19:41:48: 21.6°C
19:41:54: 21.6°C
19:42:00: 21.6°C
19:42:06: 21.6°C
19:42:13: 21.6°C
19:42:19: 21.6°C
19:42:25: 21.6°C
19:42:31: 21.6°C
19:42:38: 21.6°C
19:42:44: 21.6°C
19:42:50: 21.6°C
19:42:57: 21.6°C
19:43:03: 21.6°C
19:43:09: 21.6°C
19:43:15: 21.6°C
19:43:22: 21.6°C
19:43:28: 21.6°C
19:43:34: 21.6°C
19:43:40: 21.6°C
19:43:47: 21.6°C
19:43:53: 21.6°C
19:43:59: 21.6°C
19:44:05: 21.6°C
19:44:12: 21.6°C
19:44:18: 21.6°C
19:44:24: 21.6°C
19:44:31: 21.6°C
19:44:37: 21.6°C
19:44:43: 21.6°C
19:44:49: 21.6°C
19:44:56: 21.6°C
19:45:02: 21.6°C
19:45:08: 21.6°C
19:45:14: 21.6°C
19:45:21: 21.6°C
19:45:27: 21.6°C
19:45:33: 21.6°C
19:45:39: 21.6°C
19:45:46: 21.6°C
19:45:52: 21.6°C
19:45:58: 21.6°C
19:46:04: 21.6°C
19:46:11: 21.6°C
19:46:17: 21.6°C
19:46:23: 21.5°C
19:46:30: 21.6°C
19:46:36: 21.5°C
19:46:42: 21.6°C
19:46:48: 21.6°C
19:46:55: 21.6°C
19:47:01: 21.6°C
19:47:07: 21.6°C
19:47:13: 21.6°C
19:47:20: 21.5°C
19:47:26: 21.6°C
19:47:32: 21.5°C
19:47:38: 21.5°C
19:47:45: 21.5°C
19:47:51: 21.5°C
19:47:57: 21.5°C
19:48:03: 21.5°C
19:48:10: 21.5°C
19:48:16: 21.5°C
19:48:22: 21.5°C
19:48:29: 21.5°C
19:48:35: 21.5°C
19:48:41: 21.5°C
19:48:47: 21.5°C
19:48:54: 21.5°C
19:49:00: 21.5°C
19:49:06: 21.5°C
19:49:12: 21.5°C
19:49:19: 21.5°C
19:49:25: 21.5°C
19:49:31: 21.5°C
19:49:37: 21.5°C
19:49:44: 21.5°C
19:49:50: 21.5°C
19:49:56: 21.5°C
19:50:03: 21.5°C
19:50:09: 21.5°C
19:50:15: 21.5°C
19:50:21: 21.5°C
19:50:28: 21.5°C
19:50:34: 21.5°C
19:50:40: 21.4°C
19:50:46: 21.5°C
19:50:53: 21.5°C
19:50:59: 21.5°C
19:51:05: 21.5°C
19:51:12: 21.4°C
19:51:18: 21.4°C
19:51:24: 21.5°C
19:51:30: 21.5°C
19:51:37: 21.4°C
19:51:43: 21.4°C
19:51:49: 21.5°C
19:51:55: 21.5°C
19:52:02: 21.4°C
19:52:08: 21.4°C
19:52:14: 21.4°C
19:52:20: 21.4°C
19:52:27: 21.4°C
19:52:33: 21.4°C
19:52:39: 21.5°C
19:52:46: 21.4°C
19:52:52: 21.4°C
19:52:58: 21.4°C
19:53:04: 21.4°C
19:53:11: 21.4°C
19:53:17: 21.4°C
19:53:23: 21.4°C
19:53:29: 21.4°C
19:53:36: 21.4°C
19:53:42: 21.4°C
19:53:48: 21.4°C
19:53:55: 21.4°C
19:54:01: 21.4°C
19:54:07: 21.4°C
19:54:13: 21.4°C
19:54:20: 21.4°C
19:54:26: 21.4°C
19:54:32: 21.4°C
19:54:38: 21.4°C
19:54:45: 21.4°C
19:54:51: 21.4°C
19:54:57: 21.4°C
19:55:03: 21.4°C
19:55:10: 21.4°C
19:55:16: 21.4°C
19:55:22: 21.4°C
19:55:28: 21.4°C
19:55:35: 21.4°C
19:55:41: 21.4°C
19:55:47: 21.4°C
19:55:54: 21.4°C
19:56:00: 21.4°C
19:56:06: 21.4°C
19:56:12: 21.4°C
19:56:19: 21.4°C
19:56:25: 21.4°C
19:56:31: 21.4°C
19:56:37: 21.4°C
19:56:44: 21.4°C
19:56:50: 21.4°C
19:56:56: 21.4°C
19:57:02: 21.4°C
19:57:09: 21.4°C
19:57:15: 21.4°C
19:57:21: 21.4°C
19:57:27: 21.4°C
19:57:34: 21.4°C
19:57:40: 21.4°C
19:57:46: 21.4°C
19:57:53: 21.4°C
19:57:59: 21.4°C
19:58:05: 21.4°C
19:58:11: 21.4°C
19:58:18: 21.4°C
19:58:24: 21.4°C
19:58:30: 21.4°C
19:58:36: 21.4°C
19:58:43: 21.4°C
19:58:49: 21.4°C
19:58:55: 21.4°C
19:59:02: 21.4°C
19:59:08: 21.4°C
19:59:14: 21.4°C
19:59:20: 21.4°C
19:59:27: 21.4°C
19:59:33: 21.4°C
19:59:39: 21.4°C
19:59:45: 21.4°C
19:59:52: 21.3°C
19:59:58: 21.4°C
20:00:04: 21.4°C
20:00:11: 21.4°C
20:00:17: 21.4°C
20:00:23: 21.3°C
20:00:29: 21.4°C
20:00:36: 21.3°C
20:00:42: 21.3°C
20:00:48: 21.3°C
20:00:54: 21.3°C
20:01:01: 21.3°C
20:01:07: 21.3°C
20:01:13: 21.3°C
20:01:19: 21.3°C
20:01:26: 21.3°C
20:01:32: 21.3°C
20:01:38: 21.4°C
20:01:45: 21.3°C
20:01:51: 21.3°C
20:01:57: 21.4°C
20:02:03: 21.3°C
20:02:10: 21.3°C
20:02:16: 21.3°C
20:02:22: 21.3°C
20:02:28: 21.3°C
20:02:35: 21.3°C
20:02:41: 21.3°C
20:02:47: 21.3°C
20:02:53: 21.3°C
20:03:00: 21.3°C
20:03:06: 21.3°C
20:03:12: 21.3°C
20:03:19: 21.3°C
20:03:25: 21.4°C
20:03:31: 21.3°C
20:03:37: 21.3°C
20:03:44: 21.3°C
20:03:50: 21.3°C
20:03:56: 21.3°C
20:04:02: 21.3°C
20:04:09: 21.3°C
20:04:15: 21.3°C
20:04:21: 21.3°C
20:04:28: 21.3°C
20:04:34: 21.3°C
20:04:40: 21.2°C
20:04:46: 21.3°C
20:04:53: 21.3°C
20:04:59: 21.3°C
20:05:05: 21.3°C
20:05:11: 21.3°C
20:05:18: 21.3°C
20:05:24: 21.3°C
20:05:30: 21.3°C
20:05:36: 21.2°C
20:05:43: 21.2°C
20:05:49: 21.3°C
20:05:55: 21.3°C
20:06:02: 21.3°C
20:06:08: 21.3°C
20:06:14: 21.2°C
20:06:20: 21.2°C
20:06:27: 21.2°C
20:06:33: 21.2°C
20:06:39: 21.2°C
20:06:45: 21.3°C
20:06:52: 21.3°C
20:06:58: 21.2°C
20:07:04: 21.2°C
20:07:11: 21.2°C
20:07:17: 21.2°C
20:07:23: 21.2°C
20:07:29: 21.2°C
20:07:36: 21.2°C
20:07:42: 21.2°C
20:07:48: 21.2°C
20:07:54: 21.2°C
20:08:01: 21.2°C
20:08:07: 21.2°C
20:08:13: 21.2°C
20:08:19: 21.2°C
20:08:26: 21.2°C
20:08:32: 21.2°C
20:08:38: 21.2°C
20:08:45: 21.2°C
20:08:51: 21.2°C
20:08:57: 21.2°C
20:09:03: 21.2°C
20:09:10: 21.2°C
20:09:16: 21.2°C
20:09:22: 21.2°C
20:09:28: 21.2°C
20:09:35: 21.2°C
20:09:41: 21.2°C
20:09:47: 21.2°C
20:09:53: 21.2°C
20:10:00: 21.2°C
20:10:06: 21.2°C
20:10:12: 21.2°C
20:10:18: 21.2°C
20:10:25: 21.2°C
20:10:31: 21.2°C
20:10:37: 21.2°C
20:10:43: 21.2°C
20:10:50: 21.2°C
20:10:56: 21.2°C
20:11:02: 21.2°C
20:11:09: 21.2°C
20:11:15: 21.2°C
20:11:21: 21.2°C
20:11:27: 21.2°C
20:11:34: 21.2°C
20:11:40: 21.2°C
20:11:46: 21.2°C
20:11:52: 21.2°C
20:11:59: 21.2°C
20:12:05: 21.2°C
20:12:11: 21.2°C
20:12:18: 21.2°C
20:12:24: 21.2°C
20:12:30: 21.2°C
20:12:36: 21.2°C
20:12:43: 21.2°C
20:12:49: 21.2°C
20:12:55: 21.2°C
20:13:01: 21.2°C
20:13:08: 21.2°C
20:13:14: 21.2°C
20:13:20: 21.2°C
20:13:26: 21.2°C
20:13:33: 21.2°C
20:13:39: 21.2°C
20:13:45: 21.2°C
20:13:52: 21.2°C
20:13:58: 21.1°C
20:14:04: 21.2°C
20:14:10: 21.2°C
20:14:17: 21.2°C
20:14:23: 21.2°C
20:14:29: 21.2°C
20:14:35: 21.1°C
20:14:42: 21.2°C
20:14:48: 21.2°C
20:14:54: 21.2°C
20:15:01: 21.2°C
20:15:07: 21.2°C
20:15:13: 21.2°C
20:15:19: 21.1°C
20:15:26: 21.2°C
20:15:32: 21.1°C
20:15:38: 21.1°C
20:15:44: 21.1°C
20:15:51: 21.1°C
20:15:57: 21.1°C
20:16:03: 21.1°C
20:16:10: 21.1°C
20:16:16: 21.2°C
20:16:22: 21.1°C
20:16:28: 21.1°C
20:16:35: 21.1°C
20:16:41: 21.1°C
20:16:47: 21.1°C
20:16:53: 21.1°C
20:17:00: 21.1°C
20:17:06: 21.1°C
20:17:12: 21.1°C
20:17:18: 21.1°C
20:17:25: 21.1°C
20:17:31: 21.1°C
20:17:37: 21.1°C
20:17:43: 21.1°C
20:17:50: 21.1°C
20:17:56: 21.1°C
20:18:02: 21.1°C
20:18:09: 21.1°C
20:18:15: 21.1°C
20:18:21: 21.1°C
20:18:27: 21.1°C
20:18:34: 21.1°C
20:18:40: 21.1°C
20:18:46: 21.1°C
20:18:52: 21.1°C
20:18:59: 21.1°C
20:19:05: 21.1°C
20:19:11: 21.1°C
20:19:18: 21.1°C
20:19:24: 21.1°C
20:19:30: 21.1°C
20:19:36: 21.1°C
20:19:43: 21.1°C
20:19:49: 21.1°C
20:19:55: 21.1°C
20:20:01: 21.1°C
20:20:08: 21.1°C
20:20:14: 21.1°C
20:20:20: 21.1°C
20:20:27: 21.1°C
20:20:33: 21.1°C
20:20:39: 21.1°C
20:20:45: 21.1°C
20:20:52: 21.1°C
20:20:58: 21.1°C
20:21:04: 21.1°C
20:21:10: 21.1°C
20:21:17: 21.1°C
20:21:23: 21.1°C
20:21:29: 21.1°C
20:21:35: 21.1°C
20:21:42: 21.1°C
20:21:48: 21.1°C
20:21:54: 21.1°C
20:22:00: 21.1°C
20:22:07: 21.1°C
20:22:13: 21.1°C
20:22:19: 21.1°C
20:22:26: 21.1°C
20:22:32: 21.1°C
20:22:38: 21.1°C
20:22:44: 21.1°C
20:22:51: 21.1°C
20:22:57: 21.1°C
20:23:03: 21.1°C
20:23:09: 21.1°C
20:23:16: 21.1°C
20:23:22: 21.1°C
20:23:28: 21.1°C
20:23:34: 21.1°C
20:23:41: 21.0°C
20:23:47: 21.1°C
20:23:53: 21.1°C
20:23:59: 21.1°C
20:24:06: 21.0°C
20:24:12: 21.0°C
20:24:18: 21.1°C
20:24:25: 21.0°C
20:24:31: 21.0°C
20:24:37: 21.0°C
20:24:43: 21.0°C
20:24:50: 21.0°C
20:24:56: 21.0°C
20:25:02: 21.0°C
20:25:08: 21.0°C
20:25:15: 21.0°C
20:25:21: 21.0°C
20:25:27: 21.0°C
20:25:33: 21.0°C
20:25:40: 21.0°C
20:25:46: 21.0°C
20:25:52: 21.0°C
20:25:59: 21.0°C
20:26:05: 21.0°C
20:26:11: 21.0°C
20:26:17: 21.0°C
20:26:24: 21.0°C
20:26:30: 21.0°C
20:26:36: 21.0°C
20:26:42: 20.9°C
20:26:49: 21.0°C
20:26:55: 21.0°C
20:27:01: 21.0°C
20:27:07: 20.9°C
20:27:14: 21.0°C
20:27:20: 21.0°C
20:27:26: 21.0°C
20:27:33: 21.0°C
20:27:39: 21.0°C
20:27:45: 21.0°C
20:27:51: 21.0°C
20:27:58: 21.0°C
